idcontrato;nAnuncio;tipoprocedimento;objectoContrato;dataPublicacao;dataCelebracaoContrato;precoContratual;prazoExecucao;NIPC_entidade_comunicante;entidade_comunicante;fundamentacao
10625568;2260/2024;Concurso público;Aquisição de serviços para a manutenção da Rede Secundária DFC Faixas de Gestão de Combustível confinantes com a Rede Viária Municipal Manutenção de Rede Viária Florestal - 3.ª Ordem;20/03/2024;19/03/2024;60512,23;135;502661038;Município de Abrantes;Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos
10625601;;Ajuste Direto Regime Geral;Aquisição de equipamento informático;20/03/2024;20/03/2024;8239,5;30;506811662;Município de Sabugal;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625608;;Ao abrigo de acordo-quadro (art.º 259.º);51/07/2024-CPA 2022/8 Antissépticos, desinfetantes e produtos cosméticos para uso no humano  ;20/03/2024;11/03/2024;1980;365;508752000;Unidade Local de Saúde da Guarda, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10625621;;Ajuste Direto Regime Geral;0402-1225-2024 (Material de coluna);20/03/2024;20/03/2024;27500;20;510103448;Centro Hospitalar e Universitário de Coimbra, E. P. E.;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625642;1730/2024;Concurso público;Elaboração do cadastro das infraestruturas existentes do sistema em baixa de abastecimento de água na cidade de Vila Nova de Foz Côa;20/03/2024;20/03/2024;11695,32;120;506829197;Município de Vila Nova de Foz Côa;Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos
10625646;;Ajuste Direto Regime Geral;AD 24/S/00019 - AQUISIÇÃO DE BLUSÕES IGNÍFUGOS;20/03/2024;20/03/2024;735,68;30;680009671;Serviços Intermunicipalizados de Águas e Resíduos dos Municípios de Loures e Odivelas;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625696;410/2024;Concurso público;Empreitada 160/GEBALIS/2023 - Bairro Avenida de Berlim, Alfredo Bensaúde, Casal dos Machados, Condado, Condado Zona I e Flamenga - Obras de reabilitação de frações de habitação municipal;20/03/2024;11/03/2024;50000,01;75;503541567;Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.;Artigo 19.º, alínea b) do Código dos Contratos Públicos
10625707;;Ajuste Direto Regime Geral;37002724_ Assessoria d Imprensa;20/03/2024;08/02/2024;20865;90;506361608;Unidade Local de Saúde do Médio Tejo, EPE;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625717;;Ajuste Direto Regime Geral;1070324 PACLItaxel 6 mg/ml Sol inj Fr 50 ml IV,OXALiplatina 5 mg/ml Sol inj Fr 40 ml IV;20/03/2024;26/01/2024;5420;20;506362299;Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625734;;Ajuste Direto Regime Geral;Requalificação de calçadas na freguesia de Amora;20/03/2024;26/01/2024;15000;90;506809765;Freguesia de Amora;Artigo 19.º, alínea d) do Código dos Contratos Públicos
